Id,YearBuilt,YearRemodAdd,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,FullBath,HalfBath,TotRmsAbvGrd,GarageCars,GarageArea,NbChildren,SalePrice
378,2004,2005,1580,1580,1580,886,4,1,3,0,8,2,610,1,340000
379,2010,2010,411,1856,1856,0,1,1,1,1,8,3,834,1,394432
380,2000,2000,982,982,1007,793,3,1,2,1,7,2,463,2,179000
381,1924,1950,808,1026,1026,665,3,1,2,0,6,1,308,1,127000
382,2006,2006,1293,1293,1301,0,2,1,2,0,5,2,572,5,187750
383,2006,2006,939,939,939,858,3,1,2,1,8,2,639,6,213500
384,1928,1950,784,784,784,0,2,1,1,0,5,2,360,6,76000
385,1992,1992,595,1580,1079,874,3,1,2,1,9,2,501,5,240000
386,2004,2005,1232,1256,1269,0,2,1,2,0,6,2,430,2,192000
387,1910,1996,658,658,658,526,5,1,1,0,8,0,0,4,81000
388,1976,1976,410,1041,1125,0,3,1,1,0,6,1,352,5,125000
389,1999,2000,1468,1468,1479,0,3,1,2,0,6,2,577,3,191000
390,2007,2008,402,1682,1742,590,3,1,2,1,9,3,846,3,426000
391,1900,1950,229,861,961,406,4,1,1,0,7,1,384,3,119000
392,2001,2002,114,804,804,1157,3,1,2,1,7,2,560,0,215000
393,1959,1959,0,0,882,0,3,1,1,0,5,1,294,0,106500
394,1941,1950,522,788,788,0,2,1,1,0,4,0,0,4,100000
395,1940,1950,735,735,735,299,2,1,1,0,5,1,240,5,109000
396,1956,1956,405,1144,1144,0,3,1,1,0,6,1,596,5,129000
397,1972,1972,117,894,894,0,2,1,1,0,6,2,600,2,123000
398,1962,1962,324,864,876,936,4,1,2,0,8,1,264,3,169500
399,1920,1950,961,961,1077,0,2,1,1,0,6,1,338,2,67000
400,2006,2007,280,1092,1112,438,2,1,2,0,7,2,438,4,241000
401,1996,1996,474,1260,1288,0,1,1,1,1,4,2,500,4,245500
402,2005,2005,1286,1310,1310,0,3,1,2,0,6,2,400,6,164990
403,1940,1997,672,672,672,0,2,1,1,0,4,1,240,2,108000
404,1998,1998,1141,1141,1165,1098,4,1,2,1,10,2,420,5,258000
405,1995,1996,806,806,806,766,3,1,2,1,7,2,373,0,168000
406,1976,1993,165,1281,1620,0,3,1,2,0,8,2,490,4,150000
407,1936,1950,1064,1064,1166,0,3,1,1,0,6,1,240,0,115000
408,1915,1976,840,840,840,840,4,1,2,0,8,1,308,2,177000
409,2006,2006,1063,1063,1071,1101,3,1,2,1,9,3,947,0,280000
410,2007,2008,245,1034,1050,1028,3,1,2,1,8,3,836,4,339750
411,1958,1958,1276,1276,1276,0,3,1,1,0,5,1,350,1,60000
412,1955,1955,0,1056,1056,0,3,1,1,0,5,2,572,2,145000
413,2009,2009,892,1470,1478,0,2,1,2,1,7,2,484,3,222000
414,1927,1950,1008,1008,1028,0,2,1,1,0,5,2,360,0,115000
415,1993,1993,499,1080,1080,1017,3,1,2,1,9,3,678,4,228000
416,2007,2007,1316,1340,1340,0,3,1,2,0,6,2,396,0,181134
417,1978,1978,463,672,672,728,3,1,1,1,6,2,440,5,149500
418,1918,1950,242,1370,1370,1254,4,1,2,1,10,3,864,0,239000
419,1940,1950,444,756,756,378,3,1,1,1,7,1,240,3,126000
420,1968,1968,281,1056,1056,0,3,1,1,0,6,1,304,1,142000
421,1997,1998,35,1344,1344,0,2,2,2,0,8,4,784,3,206300
422,1977,2000,356,1602,1602,0,3,1,2,0,8,2,529,6,215000
423,1954,1954,988,988,988,0,2,1,1,0,4,2,520,5,113000
424,1998,1998,484,1470,1470,1160,4,1,2,1,8,3,696,5,315000
425,1956,1956,580,1196,1196,0,2,1,1,0,6,1,297,4,139000
426,1946,1992,651,651,707,682,3,1,1,1,6,1,240,6,135000
427,1989,1989,0,1518,1644,0,2,1,2,0,5,2,569,3,275000
428,1957,1957,619,907,907,0,3,1,1,0,5,1,352,0,109008
429,2007,2007,544,1208,1208,0,2,1,2,0,6,2,628,1,195400
430,1988,1988,387,1392,1412,0,3,1,2,0,6,2,576,5,175000
431,1971,1971,96,483,483,504,2,1,1,1,4,1,264,4,85400
432,1920,1998,901,901,1088,110,4,1,1,0,7,0,0,2,79900
433,1971,1971,294,765,765,600,2,1,1,1,6,2,440,6,122500
434,1997,1998,926,926,926,678,3,1,2,1,7,2,470,2,181000
435,1972,1972,135,630,630,0,1,1,1,0,3,0,0,6,81000
436,1996,1996,70,799,827,834,3,1,2,1,6,2,550,3,212000
437,1920,1950,648,648,734,384,2,1,1,0,6,2,440,3,116000
438,1926,2004,884,884,904,0,2,1,1,0,4,1,180,3,119000
439,1913,2002,75,440,694,0,2,1,1,0,4,1,352,3,90350
440,1920,2000,684,684,684,512,3,1,1,0,7,2,528,0,110000
441,2008,2008,788,3094,2402,0,2,1,2,0,10,3,672,6,555000
442,1955,1955,1307,1440,1440,0,4,2,2,0,8,0,0,1,118000
443,1930,1992,1078,1078,1128,445,3,1,2,0,8,2,360,1,162900
444,2006,2007,1258,1258,1258,0,2,1,2,0,6,3,648,3,172500
445,1994,1995,273,915,933,975,4,1,2,1,8,2,493,6,210000
446,1956,1956,1436,1436,1689,0,3,1,1,0,7,2,480,6,127500
447,1966,2002,557,1517,1888,0,2,1,2,1,6,2,578,4,190000
448,1998,1999,930,930,956,930,4,1,2,1,10,2,431,6,199900
449,1937,1950,780,780,780,596,3,1,2,0,7,1,198,1,119500
450,1948,2002,318,649,679,504,2,1,1,1,6,1,308,4,120000
451,1930,2005,813,813,813,0,2,1,1,0,5,1,270,5,110000
452,1975,1975,878,1533,1533,0,2,1,2,0,5,2,576,0,280000
453,1996,1997,130,872,888,868,3,1,2,1,7,2,422,6,204000
454,2008,2008,768,768,786,804,3,1,2,1,6,2,676,3,210000
455,1976,1976,122,1728,1728,0,4,2,2,0,8,2,560,3,188000
456,1973,1973,326,1242,1242,0,3,1,1,1,6,2,528,5,175500
457,1916,1950,624,624,624,720,4,1,1,0,7,3,513,4,98000
458,1954,1994,248,1364,1663,0,2,1,1,0,6,2,529,2,256000
459,1925,1996,588,588,833,833,3,1,1,0,7,1,228,2,161000
460,1950,1950,524,709,979,224,3,1,1,0,5,1,352,1,110000
461,2009,2009,288,832,832,1103,3,1,2,1,8,2,552,5,263435
462,1936,2007,0,560,575,560,3,1,1,0,6,2,576,3,155000
463,1965,1965,0,864,864,0,3,1,1,0,5,1,360,5,62383
464,1934,1995,389,715,849,811,3,1,1,1,6,1,240,5,188700
465,1978,1978,424,1040,1040,0,3,1,2,0,5,0,0,1,124000
466,2004,2004,1375,1375,1414,0,2,1,2,0,6,2,398,0,178740
467,1970,1970,499,1277,1277,0,2,1,1,0,5,2,526,5,167000
468,1942,1995,342,728,888,756,3,1,1,1,7,1,312,0,146500
469,2006,2006,1626,1626,1634,0,3,1,2,0,7,3,866,4,250000
470,1993,1993,406,832,832,878,3,1,2,1,7,2,506,4,187000
471,1985,1985,0,1488,1502,0,1,1,1,1,4,2,528,4,212000
472,1977,1977,808,808,1161,808,3,1,2,1,8,2,534,0,190000
473,2005,2005,88,547,1072,0,2,1,1,0,5,2,525,0,148000
474,2006,2007,626,1976,1976,0,2,1,2,0,7,3,908,0,440000
475,2000,2000,298,1494,1652,0,2,1,2,0,6,2,499,1,251000
476,1963,1963,340,970,970,0,2,1,1,0,5,2,624,5,132500
477,1997,1998,484,1478,1493,0,3,1,2,0,7,2,508,1,208900
478,2006,2006,2153,2153,2069,574,3,1,2,1,9,3,694,0,380000
479,2007,2008,417,1705,1718,0,3,1,2,0,7,3,826,6,297000
480,1937,2000,739,907,1131,0,2,1,1,0,7,2,672,6,89471
481,2004,2005,572,1833,1850,0,3,1,2,0,8,3,772,2,326000
482,2003,2004,225,1792,1792,0,2,1,2,0,6,3,874,6,374000
483,1915,2005,611,910,916,910,4,1,1,1,7,1,164,6,155000
484,1998,1998,319,1216,1216,0,2,1,2,0,5,2,402,2,164000
485,1962,2001,411,999,999,0,3,1,1,0,6,1,264,3,132500
486,1950,2007,506,1113,1113,0,3,1,1,0,5,1,264,6,147000
487,1965,1965,237,1073,1073,0,3,1,1,1,6,2,515,0,156000
488,1971,1971,486,1484,1484,0,3,1,2,0,7,2,487,3,175000
489,1900,1970,290,954,1766,648,3,2,2,0,10,2,520,3,160000
490,1970,2002,115,630,630,0,1,1,1,0,3,1,286,2,86000
491,1976,1976,264,264,616,688,3,1,1,1,4,1,336,0,115000
492,1941,1950,238,806,958,620,3,1,1,0,5,1,240,2,133000
493,2006,2006,728,728,728,728,3,1,2,1,8,2,429,1,172785
494,1960,1960,363,1269,1269,0,3,1,1,1,6,1,308,2,155000
495,1938,1996,190,190,886,0,2,1,1,0,4,1,273,1,91300
496,1920,1950,225,720,720,0,2,1,1,0,4,0,0,0,34900
497,1992,1993,1969,3200,3228,0,4,1,3,0,10,2,546,3,430000
498,1925,1950,697,1026,1133,687,4,1,2,0,8,1,240,5,184000
499,1967,2004,414,864,899,0,3,1,1,0,5,1,288,0,130000
500,1958,1985,522,912,912,0,2,1,1,0,5,1,297,1,120000
501,1973,1973,316,672,672,546,3,1,1,1,7,1,264,0,113000
502,2005,2005,466,866,866,902,3,1,2,1,7,2,603,6,226700
503,1965,1965,420,1214,1214,0,2,1,1,0,6,2,461,5,140000
504,1959,1997,254,1501,1801,0,1,1,2,0,6,2,484,1,289000
505,1974,1974,103,855,855,467,3,1,2,1,6,2,440,3,147000
506,1952,1952,960,960,960,1000,4,2,2,0,10,2,400,3,124500
507,1993,1994,397,777,1065,846,3,1,2,1,8,2,471,1,215000
508,2009,2009,1191,1218,1218,0,2,1,2,0,4,2,676,5,208300
509,1928,2005,548,689,689,689,3,1,2,0,7,2,360,4,161000
510,1959,1959,50,1041,1041,0,3,1,1,0,6,1,270,2,124500
511,1951,2000,178,1008,1363,0,2,1,1,0,6,1,288,1,164900
512,2005,2006,1368,1368,1368,0,2,1,2,0,6,2,474,4,202665
513,1958,1958,169,864,864,0,3,1,1,0,5,2,624,6,129900
514,1983,1983,748,1084,1080,0,3,1,1,1,5,2,484,6,134000
515,1926,1950,768,768,789,0,2,1,1,0,5,1,200,4,96500
516,2009,2009,570,2006,2020,0,3,1,2,1,9,3,900,3,402861
517,1972,1972,689,689,1378,741,3,1,2,1,7,2,583,4,158000
518,1996,1997,1264,1264,1277,1067,3,1,2,1,7,3,889,3,265000
519,1998,1998,88,794,882,914,3,1,2,1,7,2,546,2,211000
520,1926,2004,1276,1276,1276,804,3,1,1,1,9,1,282,1,234000
521,1900,2000,0,0,694,600,3,2,2,0,7,0,0,2,106250
522,1957,1957,467,1244,1244,0,3,1,1,1,6,1,336,6,150000
523,1947,1950,605,1004,1004,660,3,1,2,0,7,2,420,1,159000
524,2007,2008,878,3138,3138,1538,3,1,3,1,11,3,884,1,184750
525,1996,1997,660,1379,1383,1015,3,1,2,1,8,3,834,0,315750
526,2005,2005,1257,1257,1266,0,3,1,2,0,6,2,453,4,176000
527,1956,2000,551,928,928,0,2,1,1,0,4,1,252,3,132000
528,2008,2008,122,1452,1476,1237,3,1,2,1,11,3,858,6,446261
529,1920,2002,180,528,605,0,2,1,1,0,5,0,0,1,86000
530,1957,1975,816,2035,2515,0,4,2,3,0,9,2,484,6,200624
531,1988,1989,678,1461,1509,0,3,1,2,0,5,2,600,3,175000
532,1920,1999,611,611,751,611,3,1,2,0,6,2,502,0,128000
533,1955,2007,0,0,827,0,2,1,1,0,5,1,392,1,107500
534,1946,1950,0,0,334,0,1,1,1,0,2,0,0,2,39300
535,2004,2004,707,707,707,707,3,1,2,1,6,2,403,0,178000
536,1910,1991,148,1117,820,527,3,1,1,0,5,0,0,4,107500
537,1998,1999,880,880,880,844,3,1,2,1,8,2,527,6,188000
538,1972,1972,264,864,864,0,3,1,1,0,5,2,576,5,111250
539,1968,1968,378,1051,1159,0,3,1,1,1,7,1,336,2,158000
540,2001,2002,223,1581,1601,0,3,1,2,0,6,2,670,6,272000
541,2006,2006,578,1838,1838,0,2,1,2,0,8,3,765,2,315000
542,2000,2000,969,969,997,1288,4,1,2,1,8,3,648,4,248000
543,1998,1999,379,1650,1680,0,3,1,2,0,7,2,583,6,213250
544,1998,1998,0,723,767,0,1,1,1,0,4,1,367,2,133000
545,2006,2006,100,654,664,832,3,1,2,1,7,2,426,2,179665
546,1988,1988,0,1204,1377,806,4,1,2,1,9,3,786,4,229000
547,1923,1950,765,1065,915,720,3,1,1,1,6,2,440,6,210000
548,1970,1970,149,768,768,0,2,1,1,0,5,2,624,2,129500
549,1955,1995,0,825,825,0,2,1,1,0,4,2,720,4,125000
550,2003,2004,912,912,912,1182,4,1,2,1,8,2,615,6,263000
551,1977,1977,510,1069,1069,0,2,1,2,0,4,2,440,4,140000
552,1957,1957,620,928,928,0,3,1,1,0,5,1,288,1,112500
553,2006,2006,1709,1709,1717,0,3,1,2,0,7,3,908,2,255500
554,1949,2003,0,0,1126,0,2,1,2,0,5,2,520,0,108000
555,2003,2004,132,998,1006,1040,3,1,2,1,8,3,871,0,284000
556,1922,1950,993,993,1048,0,2,1,1,0,5,1,280,4,113000
557,1957,1957,197,1092,1092,0,2,1,1,0,6,1,299,4,141000
558,1920,1950,0,637,897,439,3,1,1,1,7,1,570,5,108000
559,1996,1997,125,729,729,717,3,1,2,1,6,2,406,6,175000
560,2003,2004,1374,1374,1557,0,2,1,2,0,7,2,420,1,234000
561,1957,1996,90,1392,1392,0,3,1,1,1,5,2,528,0,121500
562,1974,1975,195,1389,1389,0,2,1,1,0,6,2,418,5,170000
563,1940,1969,706,996,996,0,3,1,1,0,6,0,0,3,108000
564,1918,1950,1163,1163,1163,511,4,1,2,0,8,2,396,1,185000
565,1992,2000,367,1095,1166,1129,4,1,2,1,9,2,590,1,268000
566,1915,1950,806,806,841,806,4,1,1,1,6,1,216,2,128000
567,2005,2007,1122,1122,1134,1370,4,1,2,1,11,3,656,1,325000
568,2004,2004,1515,1517,1535,0,3,1,2,0,7,2,532,0,214000
569,1983,2009,55,1496,1496,636,1,1,1,1,5,2,612,2,316600
570,1979,1979,0,943,943,0,2,1,1,0,4,2,600,6,135960
571,1965,1965,1497,1728,1728,0,6,2,2,0,10,2,576,0,142600
572,1959,1959,450,864,864,0,2,1,1,0,4,1,288,6,120000
573,2009,2009,846,846,846,846,3,1,2,1,6,2,650,0,224500
574,2000,2000,384,384,774,656,3,1,2,1,8,2,400,2,170000
575,1971,2005,23,372,576,533,3,1,1,0,5,1,288,2,139000
576,1947,1950,390,832,832,384,2,1,1,0,6,1,336,2,118500
577,1928,1950,861,861,877,600,3,1,2,0,6,1,216,6,145000
578,1966,1966,285,1164,1320,0,3,1,1,0,6,2,564,0,164500
579,2007,2007,689,689,703,689,2,1,2,0,5,2,540,4,146000
580,1954,1954,1050,1050,1050,745,4,1,2,0,7,1,352,4,131500
581,1960,1987,331,1144,1429,0,3,1,1,0,7,2,572,6,181900
582,2008,2009,2042,2042,2042,0,3,1,2,1,8,3,1390,2,253293
583,1990,1990,0,816,816,0,3,1,1,0,5,0,0,3,118500
584,1893,2000,1237,1237,1521,1254,3,1,3,1,9,2,880,3,325000
585,1935,1995,884,884,989,584,3,1,1,0,6,1,240,4,133000
586,2005,2006,408,1868,2028,0,2,1,2,0,7,3,880,6,369900
587,1918,2000,0,816,838,0,2,1,1,0,5,1,275,1,130000
588,1982,1982,168,840,860,0,2,1,1,0,4,2,528,4,137000
589,1968,2003,113,1437,1473,0,1,1,1,0,5,1,452,4,143000
590,1930,1960,742,742,779,0,2,1,1,0,4,1,308,3,79500
591,2004,2004,280,770,770,812,3,1,2,1,6,2,520,3,185900
592,2008,2008,384,1722,1728,568,3,1,2,1,10,3,842,4,451950
593,1982,2003,0,816,816,0,2,1,1,0,4,2,816,3,138000
594,2003,2003,163,848,848,0,1,1,1,0,4,2,420,3,140000
595,1975,1975,924,924,924,0,3,1,1,0,5,1,280,5,110000
596,2005,2006,392,1814,1826,0,3,1,2,0,7,3,758,0,319000
597,1910,1993,684,684,684,684,3,1,1,0,7,1,216,0,114504
598,2006,2007,1258,1258,1402,0,2,1,0,2,7,3,648,6,194201
599,1977,1977,0,1430,1647,0,3,1,2,0,7,2,621,3,217500
600,1980,1980,23,716,716,840,3,1,2,1,6,2,452,0,151000
601,2005,2005,512,1058,1058,846,3,1,2,1,8,2,736,6,275000
602,1937,1950,780,780,780,595,3,1,1,1,6,1,544,6,141000
603,1992,1992,119,908,927,988,3,1,2,1,8,2,506,4,220000
604,2004,2005,600,600,600,600,2,1,2,1,4,2,480,1,151000
605,2002,2002,572,1494,1494,0,3,1,2,0,6,2,530,5,221000
606,1965,1990,314,768,1186,800,3,1,2,1,7,2,486,1,205000
607,1996,1996,308,1040,1040,0,3,1,1,0,6,2,576,2,152000
608,1948,2002,293,896,1112,896,3,1,3,0,8,1,230,6,225000
609,1934,1998,537,965,1940,1254,4,1,2,1,10,2,380,4,359100
610,1961,1961,126,1029,1029,0,3,1,1,0,5,1,261,6,118500
611,2000,2000,536,1440,1476,677,3,1,2,1,8,3,736,3,313000
612,1978,1978,427,1032,1032,0,3,1,2,0,6,2,564,1,148000
613,2001,2001,309,1299,1299,573,3,1,2,1,7,2,531,1,261500
614,2007,2007,914,1120,1120,0,3,1,1,0,6,0,0,3,147000
615,1972,1972,0,630,630,0,1,1,1,0,3,0,0,2,75500
616,1963,1963,173,936,1054,0,3,1,1,0,6,2,480,0,137500
617,2002,2003,326,783,807,702,3,1,2,1,7,2,393,1,183200
618,1954,1954,832,832,832,0,2,1,1,0,4,2,528,6,105500
619,2007,2007,1774,1822,1828,0,3,1,2,0,9,3,774,4,314813
620,2003,2003,611,1482,1482,780,4,1,2,1,10,3,749,2,305000
621,1914,1950,823,864,864,0,2,1,1,0,5,0,0,2,67000
622,1974,1997,384,1522,1548,1066,4,1,2,1,9,2,624,5,240000
623,1977,1977,420,980,980,0,3,1,1,0,6,2,484,4,135000
624,2000,2000,336,756,756,756,2,1,2,1,4,2,440,0,168500
625,1972,1972,485,732,1012,778,4,1,1,2,8,2,484,4,165150
626,1962,1962,1116,1116,1116,0,3,1,1,1,5,2,440,2,160000
627,1960,1978,978,978,1422,0,3,1,1,0,6,1,286,6,139900
628,1955,1972,350,1156,1520,0,3,1,1,0,7,1,364,1,153000
629,1969,1969,390,1040,1040,1040,5,1,1,2,9,2,504,3,135000
630,1964,1964,288,1248,1350,0,3,1,1,1,6,2,520,3,168500
631,1880,1991,636,636,1089,661,3,1,1,0,8,1,240,3,124000
632,2006,2006,1530,1554,1554,0,2,1,2,0,6,2,627,6,209500
633,1977,1977,564,1386,1411,0,3,1,2,0,6,2,544,3,82500
634,1954,2005,108,1056,1056,0,3,1,1,0,6,1,260,5,139400
635,1980,1980,0,1056,1056,0,0,2,0,0,4,2,576,6,144000
636,1914,1995,1184,1440,1440,1440,8,2,2,0,14,0,0,3,200000
637,1936,1950,264,264,800,0,1,1,1,0,4,0,0,1,60000
638,1954,1954,811,811,811,576,3,2,2,0,7,1,256,3,93000
639,1910,1950,796,796,796,0,2,1,1,0,4,0,0,4,85000
640,2006,2006,366,1520,1567,0,1,1,2,0,7,3,648,2,264561
641,2003,2004,300,1518,1518,0,1,1,1,1,6,2,588,3,274000
642,2001,2001,319,1057,1057,872,3,1,2,1,7,2,650,5,226000
643,1972,1995,542,1952,2000,704,4,1,2,1,9,2,538,5,345000
644,1969,1969,0,780,780,840,4,1,2,1,7,2,462,3,152000
645,2009,2009,645,1766,1766,0,2,1,2,1,7,3,478,2,370878
646,1971,1971,664,981,981,0,3,1,1,1,5,2,576,3,143250
647,1950,1950,0,0,1048,0,3,1,1,0,7,2,420,1,98300
648,1953,1953,594,1094,1094,0,3,1,1,0,5,2,495,0,155000
649,1966,1966,756,756,1051,788,4,1,1,1,7,2,442,3,155000
650,1970,1970,0,630,630,0,1,1,1,0,3,0,0,4,84500
651,2007,2007,813,813,822,843,3,1,2,1,7,2,562,5,205950
652,1940,1950,755,755,755,755,4,1,1,0,7,1,296,2,108000
653,1996,1996,880,880,909,807,2,1,2,1,7,2,512,1,191000
654,1906,1995,756,756,756,713,3,1,1,0,7,1,216,0,135000
655,1995,1995,413,2109,2113,0,2,1,2,1,7,3,839,1,350000
656,1971,1971,525,525,525,567,3,1,1,1,6,1,264,4,88000
657,1959,2006,247,1053,1053,0,3,1,1,1,5,1,312,3,145500
658,1931,2000,776,776,851,651,3,1,1,1,6,1,270,2,149000
659,1948,1950,912,912,912,546,3,1,1,0,6,1,330,2,97500
660,1964,1999,849,1486,1486,0,3,1,1,0,7,2,480,0,167000
661,1976,1976,793,793,1142,793,3,1,2,1,7,2,550,2,197900
662,1994,2005,88,1629,1686,762,4,1,2,1,8,3,711,5,402000
663,1968,1968,1392,1392,1392,0,2,1,1,0,5,2,576,2,110000
664,1972,1972,38,1138,1181,0,3,1,2,0,6,2,588,6,137500
665,2005,2006,356,2077,2097,0,1,1,1,1,8,3,1134,1,423000
666,2000,2000,1406,1406,1454,482,3,1,2,1,7,2,504,1,230500
667,1965,1979,111,1021,1465,915,3,1,2,1,7,2,596,0,129000
668,1994,1998,270,1408,1679,0,3,1,2,0,7,2,575,6,193500
669,1956,1987,200,1188,1437,0,3,1,1,1,6,2,576,3,168000
670,1922,1950,700,700,1180,0,2,1,1,0,5,1,252,4,137500
671,2005,2005,545,738,738,738,3,1,2,1,7,2,540,0,173500
672,1925,1950,121,672,697,672,3,1,2,0,6,1,300,0,103600
673,1977,1977,441,1208,1208,0,3,1,1,1,6,2,546,0,165000
674,1957,2004,291,1477,1839,0,3,1,2,0,7,2,416,5,257500
675,1965,1965,244,1136,1136,0,3,1,1,0,5,1,384,1,140000
676,1978,1978,544,855,855,586,3,1,2,1,7,2,440,2,148500
677,1900,1950,1095,1095,1095,679,4,2,2,0,8,3,779,3,87000
678,1924,2006,768,768,792,0,2,1,1,0,5,1,240,2,109500
679,2008,2008,2046,2046,2046,0,3,1,2,1,7,3,834,1,372500
680,1961,1961,161,988,988,0,3,1,1,0,5,2,572,1,128500
681,1980,1980,261,923,923,0,2,1,2,0,5,1,264,5,143000
682,1932,2000,611,793,848,672,3,1,1,0,6,1,281,4,159434
683,1996,1997,288,1291,1291,0,2,1,1,0,6,2,431,0,173000
684,2002,2002,567,1626,1668,0,3,1,2,0,7,3,702,6,285000
685,1998,1998,1195,1195,1195,644,4,1,2,1,7,2,486,1,221000
686,1984,1984,180,1190,1190,900,3,1,2,0,6,2,577,5,207500
687,2007,2007,874,874,874,887,3,1,3,0,7,2,578,6,227875
688,2004,2004,312,551,551,551,2,1,2,1,4,2,480,2,148800
689,2007,2007,474,1419,1419,0,2,1,2,0,7,2,567,5,392000
690,2005,2006,1342,1362,1362,0,2,1,2,0,6,2,460,3,194700
691,2004,2004,151,848,848,0,1,1,1,0,3,2,420,2,141000
692,1994,1995,989,2444,2444,1872,4,1,3,1,10,3,832,5,755000
693,1989,1990,245,1210,1238,1281,4,1,2,1,9,2,628,2,335000
694,1921,1968,1073,1073,1073,0,2,1,1,0,4,1,326,5,108480
695,1936,1950,927,927,1067,472,3,1,1,1,5,2,576,3,141500
696,1987,1987,92,1112,1137,0,2,1,2,0,5,2,551,3,176000
697,1921,1950,0,616,616,0,2,1,1,0,4,1,205,1,89000
698,1952,1952,219,980,1148,0,2,1,1,0,6,1,308,3,123500
699,1965,2009,224,894,894,0,3,1,1,0,5,1,336,3,138500
700,2004,2004,1375,1391,1391,0,2,1,2,0,5,2,530,1,196000
701,2002,2002,526,1800,1800,0,3,1,2,0,7,3,765,1,312500
702,1969,1969,1164,1164,1164,0,3,1,1,1,6,2,528,0,140000
703,2006,2006,1234,1234,1264,1312,4,1,2,1,10,3,666,2,361919
704,1900,1996,360,360,1032,780,4,2,2,0,8,2,672,6,140000
705,2004,2005,761,1473,1484,0,3,1,2,0,7,2,606,4,213000
706,1930,1950,0,0,372,720,3,2,2,0,7,0,0,2,55000
707,1971,2002,424,1643,1824,0,2,1,2,0,5,2,739,5,302000
708,2006,2006,461,1324,1324,0,2,1,2,0,6,2,550,5,254000
709,2007,2007,728,728,728,728,3,1,2,1,8,2,400,5,179540
710,1966,1966,876,876,904,0,3,1,1,0,6,1,408,3,109900
711,1935,2003,270,270,729,0,2,1,1,0,5,0,0,6,52000
712,1900,1950,859,859,859,319,2,1,1,0,7,1,384,4,102776
713,1988,1989,461,1228,1228,0,2,1,2,0,5,2,472,6,189000
714,1970,1970,171,960,960,0,3,1,1,0,6,2,576,4,129000
715,1976,2005,192,725,725,754,3,1,2,1,6,2,475,2,130500
716,1974,1974,1064,1064,1350,0,3,1,2,0,7,2,478,0,165000
717,1890,1998,718,718,1576,978,3,1,1,1,8,2,704,5,159500
718,1973,2000,92,1176,1178,0,3,1,1,1,5,2,439,2,157000
719,1993,1994,138,1311,1325,1093,3,1,2,1,9,3,983,6,341000
720,1969,1969,448,971,971,0,3,1,1,1,5,1,300,2,128500
721,1985,1985,594,1742,1742,0,2,1,2,0,5,2,564,1,275000
722,2004,2004,186,848,848,0,1,1,1,0,3,2,420,2,143000
723,1970,1970,673,864,864,0,3,1,1,0,5,2,463,0,124500
724,1954,1972,941,941,997,473,4,1,2,0,7,1,548,2,135000
725,2007,2008,464,1698,1698,0,3,1,2,0,8,3,768,5,320000
726,1970,1970,250,864,864,0,3,1,1,0,5,2,660,0,120500
727,1988,2007,72,880,1680,0,3,1,2,0,5,2,540,5,222000
728,2007,2007,508,1232,1232,0,2,1,2,0,6,2,632,5,194500
729,1958,1958,1584,1584,1776,0,4,2,2,0,9,3,888,3,110000
730,1925,1950,628,780,848,0,2,1,1,0,5,2,539,4,103000
731,1995,1996,415,1595,1616,0,2,1,2,0,5,2,608,4,236500
732,2003,2003,82,868,1146,0,3,1,2,0,6,2,438,2,187500
733,1998,1999,901,1153,1153,878,3,1,2,1,8,2,541,1,222500
734,1961,1983,270,864,1144,0,3,1,1,0,6,1,264,4,131400
735,1968,1968,948,948,948,0,3,1,1,0,6,1,300,4,108000
736,1914,1970,490,880,880,888,2,1,1,1,6,2,320,2,163000
737,1950,1950,0,0,1040,0,2,2,2,0,6,2,400,4,93500
738,2005,2005,893,893,901,900,3,1,2,1,8,3,800,6,239900
739,1987,1988,0,1200,1200,0,3,1,3,0,5,0,0,2,179000
740,2004,2004,864,864,864,864,3,1,2,1,7,2,572,5,190000
741,1910,2002,264,264,768,664,2,1,2,0,7,2,360,2,132000
742,1961,1996,80,912,912,0,3,1,1,0,5,1,288,0,142000
743,2000,2001,1349,1349,1349,0,3,1,2,0,6,2,539,5,179000
744,1963,1999,76,520,1464,0,3,1,2,0,6,2,480,6,175000
745,1993,1993,604,1337,1337,0,2,1,2,0,5,2,462,1,180000
746,1976,1996,487,1142,1175,1540,4,1,3,1,11,2,831,2,299800
747,2000,2000,652,952,980,1276,4,1,2,1,8,2,554,6,236000
748,1880,2003,1240,1240,1320,1320,4,1,1,1,8,4,864,4,265979
749,1996,1996,801,1720,1720,0,3,1,2,0,7,2,527,2,260400
750,1945,1950,0,0,1088,441,4,1,2,0,9,1,240,0,98000
751,1910,2004,576,576,792,348,3,1,1,0,7,0,0,1,96500
752,2003,2003,660,660,660,660,3,1,2,1,6,2,400,2,162000
753,1997,1997,279,1479,1494,0,3,1,2,0,6,2,576,3,217000
754,2005,2005,1030,1030,1038,1060,3,1,2,1,8,3,878,3,275500
755,1969,2005,115,1026,1026,0,3,1,1,0,5,2,440,2,156000
756,1999,1999,348,729,742,729,3,1,2,1,6,2,440,6,172500
757,2007,2007,846,866,866,902,3,1,2,1,7,2,578,2,212000
758,1978,1978,234,672,672,714,3,1,2,1,6,2,440,1,158900
759,1999,1999,195,744,757,744,3,1,2,1,6,2,440,0,179400
